country,date,total_cases,new_cases,total_deaths,new_deaths,region,disease
China,2003-03-29,806.0,0.0,34.0,0.0,Asia,SARS
China,2003-03-31,806.0,0.0,34.0,0.0,Asia,SARS
China,2003-04-01,806.0,0.0,34.0,0.0,Asia,SARS
China,2003-04-02,1190.0,384.0,46.0,12.0,Asia,SARS
China,2003-04-03,1190.0,0.0,46.0,0.0,Asia,SARS
China,2003-04-04,1220.0,30.0,49.0,3.0,Asia,SARS
China,2003-04-05,1220.0,0.0,49.0,0.0,Asia,SARS
China,2003-04-07,1268.0,48.0,53.0,4.0,Asia,SARS
China,2003-04-08,1279.0,11.0,53.0,0.0,Asia,SARS
China,2003-04-09,1280.0,1.0,53.0,0.0,Asia,SARS
China,2003-04-10,1290.0,10.0,55.0,2.0,Asia,SARS
China,2003-04-11,1309.0,19.0,58.0,3.0,Asia,SARS
China,2003-04-12,1309.0,0.0,58.0,0.0,Asia,SARS
China,2003-04-12,62.0,0.0,4.0,0.0,Asia,SARS
China,2003-04-14,1418.0,1356.0,64.0,60.0,Asia,SARS
China,2003-04-15,1418.0,0.0,64.0,0.0,Asia,SARS
China,2003-04-16,1432.0,14.0,64.0,0.0,Asia,SARS
China,2003-04-17,1457.0,25.0,65.0,1.0,Asia,SARS
China,2003-04-18,1512.0,55.0,65.0,0.0,Asia,SARS
China,2003-04-19,1512.0,0.0,65.0,0.0,Asia,SARS
China,2003-04-21,1959.0,447.0,86.0,21.0,Asia,SARS
China,2003-04-22,2001.0,42.0,92.0,6.0,Asia,SARS
China,2003-04-23,2305.0,304.0,106.0,14.0,Asia,SARS
China,2003-04-24,2422.0,117.0,110.0,4.0,Asia,SARS
China,2003-04-25,2601.0,179.0,115.0,5.0,Asia,SARS
China,2003-04-26,2753.0,152.0,122.0,7.0,Asia,SARS
China,2003-04-28,2914.0,161.0,131.0,9.0,Asia,SARS
China,2003-04-29,3303.0,389.0,148.0,17.0,Asia,SARS
China,2003-04-30,3460.0,157.0,159.0,11.0,Asia,SARS
